"	📌 فيفا تركت الاتحادات والبطولات القارية وتركت القضايا الدولية وتركت مشكلة تنظيم كأس العالم وتنظيم كأس العالم للأندي…"
"	مساكين احنا ماعندنا لافار ولا لجنة مسابقات ولا لجنة تحكيم ولا اتحاد سعودي ولا هيئه رياضه ولا معالي مستشار 😰"
"	يارب يارب 🙏 🙏 😭 نصيب آيفون"
"	✿ م مرة زرعت فيمن حولك مبدأ أن لا أحد يستحق، بينما تبكيك أغنية! 💔 كم مرة بدا عليك المظهر الصلب، بينما تتهاوى ال…"
"	#اشراقة_اليوم تغيب الشمس وتشرق شمس العالمي وتنور ليل عشاقه 💛💙 لبى النصر و لبى عشاقة 💛💙 💛💛💙💙 #الاتحاد_النصر…"
"	تكتب اريد الاختفاء عن العالم 😳 وهي لو تقفل عليها باب الحمام جلست تبكي 🌚😂🥊🤣"
"	معقولة الكلام الكبير هذا يطلع من ناصر القصبي 😳 إللي مايعرف يجمع كلمتين على بعض في أي مقابلة تلفزيونية وتخلص المقابل…"
"	مو انت 😭"
"	عيب عليك أصلا تحسبني ممكن اكتب ""لانك""، هذي ما أكتبها حتى لو اني احاول أخفي هويتي 🤨 — و متنمرر بعد 😥"
"	ماخترت هالحياة ولا اخترت يصير لي كذا حتى مالي حق اهرب منها 💔"
"	ماشاء الله 😴"
"	حلوه بس لا عاد تعيتيها 🌚"
"	مود والله 😢"
"	خليهو خليهو .. قسما نرجع منو كل فلس اندفع لبهو علشان يطبل .. قسما ✋"
"	المجد لبريزن بريك 💔"
"	يعني انو يفكروا اختي الاصغر مني اكبر اوك فهمتها، بس اخوي البيني و بينو سنين هيك كتير . 😭"
"	بالله حتى وانت تعلق على الأهلي والهلال ، عطينا وحدة ميرنغي جمييل .. اشتقنا 💔"
"	ميقهون مره احب حسابك هاديه ولطيفه وكلامك من قلبك من يوم ما غيرتي اسمك شوق م كنت اعرفك بس عرفتك من الديبي بلس احب… —…"
"	خلك على وضعك وعاند كما شئت بكره تعرف الفرق بيني وبينك أعز الوفي و مدله خير لو جعت و الا انت تذبح من يعزك بيدينك 💔"
"	#مسلسل_ودك_يتكرر_برمضان فوازير صافي الرحيل ل ابهار الالمعي 😭"
"	اجتماع شو 🤔"
"	هل أنت ب حاجه إلى رتويت حقيقي ✴️ وبشكل يومي لتغريداتك؟! 🔃 📍 أكثر من رتويت للتغريده الواحدة ✴️ وخلال ساعه…"
"	الله يمحي كل ذكرياتنا الي بعثرتنا و يرد لنا قلوبنا القديمه 💔"
"	أيها الأغنياء .. رفقآ إخفضوا ضجيج ترفكم كي لا توقظوا أحلام الفقراء 💔"
"	البقاء مع شخص انت حقا تحبه ، حتى لو كنت تعلم انكم لا تستطيعون البقاء معا .. كاللعب تحت المطر .. ممتع .. لكنك تعلم بأنك ستمرض 💔"
"	صباح الخير ✋"
"	ياعم يتحرقوا اللي يبيع بالجزمة والقديمة كمان سيب الجديدة عندك بيها مشوار بعد المغرب 😂😂"
"	رانيا يوسف ترتدي الحجاب في مسلسلها الجديد ""مملكة ابليس"" 🤔"
"	احساسي الليلة يقول تعثر للاسف .. وانتم 😞"
"	انا ممكن اوافقك الرأي.. بس عشان تسكت 😒"
"	#بيت_شعري_تحسه_يمثلك احمد الله ما بقى لي على الدنيا حسوف الفرح يلقى شكر .. والحزن دفعة بلا 😴"
"	الله يرحمه ويغفر له 😢 ولأمي وموتى المسلمين"
"	أحبك بكل ما أوتيت من مرض 💔 #صوت_الحق_للدعم #كروب_الزهور_للدعم #النرجس_للدعم #اميره_الموسم #عراق_الخير"
"	لا اعلم لماذا يتم تصنيف الأهلي من الأربعة الكبار 🤔 مع اني ارى الاتفاق أفضل منه والشباب كذلك"
"	كيوت انبسطت عليه 😭"
"	هذا اسم امي 🌚"
" ماخلصنا القادم .. - 💵 ل كل شخص أو قسيمه ب 👌🏻 والعدد مفتوح ل ( شخص ) 👌🏻 😂 - لك و ل أهلك…"
" شفت الزعيم ☺️"
" لك ي زعييم ( لآ شي يرووق لي سوى رؤيتك آليوم ي هلال 💙 #الهلال_الاهلي"
" منك العتيبي اقل شيء جاب الحذاين لك عشان تلبسه 🤣"
" وبحر 🐎"
" نايمين 😁"
" : معرفكش بس ربنا يوفقك ف حياتك 🌸.."
" التي لم يلتفت لها أحد ، هي تحت عناية الله سبحانه ، ثق دائما بالله ولا تفقد الأمل انهو على كل شي قدير صبا…"
" يفوز 🌹 منظر وتصوير ورائع واللي اعطاه جمال صوت الحق"
" اللهم ابعد عن احبتي البلاء والعناء وارفع شأنهم عاليا في الارض والسماء وتولهم برحمتك في السراء والضراء وارزق…"
" مرورك ياطيب القلب ورفيع القدر وجميل الأخلاق 🌹 ننتظر إبداعك كالعادة"
" خرووج 🎀 اللهم اسكب في جسد كل مريض نهرا من الراحة يسري في أوردته ربي ارح ثم هون ثم اشفي كل نفس لا يعلم بوجع…"
" توني اجرب هالاختراع يوم الخميس من رونق القهوه عجيب 😍"
" إنتهيت من قراءتها ، أعد تغريدها 🌼 - أستغفرالله العظيم وأتوب إليه - أستغفرالله العظيم وأتوب إليه - أستغفر…"
" يديم الافراح 💙"
" #صباح وأنتم #سعداء أتقياء بقلوب #بيضاء ووجوه #مشرقة مبتسمة #وأنتم آمنين #مطمئنين والفرح #يعم حياتكم والعافيه…"
" علمت أن الحب فريدا من نوعه ،، متفردا بك ووحدك دون النساء فيا حظ القمر بك .. 💜"
" يشعر بالآخر الشمس تحرق نفسها لأجلنا ونحن نتغزل بالقمر .. 😉"
